English,Kannada
rope,ಹಗ್ಗ
slip,ಸ್ಲಿಪ್
win,ವಿನ್
dream,ಕನಸು
evening,ಸಂಜೆ
condition,ಷರತ್ತು
feed,ಫೀಡ್
tool,ಉಪಕರಣ
total,ಒಟ್ಟು
basic,ಮೂಲಭೂತ
smell,ವಾಸನೆ
valley,ಕಣಿವೆ
nor,ಅಥವಾ
double,ಎರಡು ಡಬಲ್
seat,ಆಸನ
continue,ಮುಂದುವರಿಸು
block,ನಿರ್ಬಂಧ
chart,ಚಾರ್ಟ್
hat,ಟೋಪಿ
sell,ಮಾರಾಟ
success,ಯಶಸ್ಸು
company,ಕಂಪೆನಿ
subtract,ಕಳೆ
event,ಈವೆಂಟ್
particular,ನಿರ್ದಿಷ್ಟ
deal,ವ್ಯವಹಾರ
swim,ಈಜು
term,ಪದ
opposite,ವಿರುದ್ದ
wife,ಹೆಂಡತಿ
shoe,ಷೂ
shoulder,ಭುಜ
spread,ಹರಡುವಿಕೆ
arrange,ವ್ಯವಸ್ಥೆಮಾಡು
camp,ಶಿಬಿರ
invent,ಆವಿಷ್ಕಾರ
cotton,ಹತ್ತಿ
born,ಹುಟ್ಟು
determine,ನಿರ್ಧರಿಸು
quart,ಕಾಲು
nine,ಒಂಬತ್ತು
truck,ಟ್ರಕ್
noise,ಶಬ್ದ
level,ಮಟ್ಟ
chance,ಅವಕಾಶ
gather,ಒಟ್ಟುಗೂಡಿಸು
shop,ಅಂಗಡಿ
stretch,ಹಿಗ್ಗಿಸು
throw,ಎಸೆಯಿರಿ
shine,ಶೈನ್
property,ಆಸ್ತಿ
column,ಕಾಲಮ್
molecule,ಅಣು
select,ಆಯ್ಕೆ ಮಾಡಿ
wrong,ತಪ್ಪು
gray,ಬೂದು
repeat,ಪುನರಾವರ್ತಿಸು
require,ಬೇಡ
broad,ವಿಶಾಲವಾದ
prepare,ತಯಾರು
salt,ಉಪ್ಪು
nose,ಮೂಗು
plural,ಬಹುವಚನ
anger,ಕೋಪ
claim,ಹಕ್ಕು
continent,ಖಂಡ
